Class 0
s0101a 44.6722 45.0022
s0102b 152.331 152.651

Class 1
s0102b 53.3204 54.7404
s0101a 45.5002 45.8675
s3102a 34.9933 35.3233
s2601a 85.5704 85.9204
s3303b 32.4104 32.7304
s0102b 90.4493 90.8393
s2601a 100.823 101.183
s2602b 70.1912 70.6012
s2601a 112.824 113.134
s2601a 134.582 135.012
s3102a 89.5623 90.3023
s0102b 104.104 104.519
s0103a 109.921 110.471
s2502a 111.864 112.294
s2502b 100.394 100.774
s2502b 105.833 106.143
s2502b 110.686 110.996
s2502b 109.889 110.344
s3101a 100.203 100.633
s3101a 128.907 129.267
s0102a 142.082 142.402
s2601b 148.047 148.397
s2004a 268.058 268.418
s3302a 191.683 192.063
s2601a 253.864 254.424
s3102b 186.763 187.163
s2502b 200.118 200.438
s0101b 128.098 128.558
s0101b 130.325 130.635
s3102a 228.307 228.617
s2601a 310.974 311.284
s0103a 274.399 274.839
s0101a 230.081 231.131
s2603b 245.02 245.44
s0101b 248.948 249.278
s0103a 340.208 340.518
s3101a 270.419 270.789
s3101a 275.219 275.529
s0103a 384.829 385.209
s2601a 395.101 395.501
s0102a 349.659 350.069
s3102a 364.082 364.432
s0102a 369.775 370.195
s2601a 431.213 431.553
s0101b 392.49 392.855
s0102b 453.276 453.706
s2502a 424.377 424.726
s3102b 407.194 407.624
s2501a 380.005 380.315
s0102a 422.758 423.558
s0102b 508.618 508.948
s2502a 457.988 458.318
s3102a 440.995 441.355
s2503a 346.814 347.124
s3101a 451.15 451.51
s0101a 574.133 574.453
s2503a 451.317 451.647
s3102b 565.067 565.558

Class 2
s0101a 45.5536 45.9281
s2303b 9.52031 9.91031
s3102a 34.9933 35.3233
s2601a 85.5704 85.9204
s3303b 32.4104 32.7304
s0102b 90.4493 90.8393
s2601a 100.823 101.183
s2602b 70.1912 70.6012
s2601a 112.824 113.134
s2002b 330.463 330.843
s2601a 134.582 135.012
s2603b 65.9126 66.2926
s2502a 111.864 112.294
s2502b 100.394 100.774
s2502b 105.833 106.143
s2502b 110.686 110.996
s2603a 137.118 137.628
s3101a 100.203 100.633
s2702b 110.363 110.803
s3101a 128.907 129.267
s0102a 142.082 142.402
s2601b 148.047 148.397
s2004a 268.058 268.418
s3302a 191.683 192.063
s2502b 200.118 200.438
s0101b 130.325 130.635
s3102a 228.307 228.617
s2601a 310.974 311.284
s0103a 269.191 269.681
s0101a 230.081 231.131
s2603b 245.02 245.44
s0101b 248.948 249.278
s0103a 340.208 340.518
s2602a 348.213 348.633
s3101a 270.419 270.789
s3101a 275.219 275.529
s2601a 395.101 395.501
s3102a 364.082 364.432
s2601a 431.213 431.553
s2602a 433.114 433.444
s2502a 424.377 424.726
s3102b 407.194 407.624
s2501a 380.005 380.315
s2502a 457.988 458.318
s3102a 440.995 441.355
s2601a 423.452 423.892
s3101a 451.15 451.51
s2503a 451.317 451.647
s3102b 565.067 565.558
s2301a 329.11 329.45

Class 3
s3201a 10.0497 10.5197
s0101a 45.7034 46.1209
s2703b 18.5199 19.0699
s2303b 9.52031 9.91031
s2703b 28.2695 28.5995
s2701a 84.4344 84.8844
s3001a 123.19 123.51
s2702b 110.363 110.803
s2702b 123.559 123.979
s0102a 142.082 142.402
s3302a 191.683 192.063
s3202b 182.156 182.656
s0103a 269.191 269.681
s2602a 348.213 348.633
s2602a 364.945 365.275
s2603b 346.463 346.823
s2302b 225.036 225.406
s2502a 424.377 424.726
s2903b 388.411 388.811
s3102b 407.194 407.624
s2301a 244.643 245.073
s2701a 580.255 580.635
s3102b 565.067 565.558
s2301a 329.11 329.45
s2301b 310.364 310.924
s2701a 457.338 457.768
s2301b 322.364 322.844
s2301b 454.951 455.501

Class 4
s0101a 46.7953 47.2996
s2601a 89.8492 90.2292
s2603b 54.3316 54.6516
s0102b 458.902 459.282
s3101b 433.337 433.687
s0102a 430.757 431.087
s3101b 552.946 553.416
s3101a 554.651 555.211

Class 5
s0101a 46.9261 47.4261
s0102a 349.719 350.499
s0102a 430.757 431.087

Class 6
s0101a 46.9311 48.1211
s0102a 440.626 441.916

Class 7
s0101a 47.2111 47.8511
s0102a 461.267 462.047

Class 8
s0101a 47.4411 48.0011
s0102a 313.614 314.174

Class 9
s0101a 49.3197 49.7947
s0102b 81.7796 82.3096
s0102b 269.553 269.863
s0102a 215.088 215.738
s0102b 306.783 307.603
s0101a 409.534 410.004
s2501a 497.921 498.511

Class 10
s0101a 56.5766 56.9146
s0103a 57.1479 57.5479
s3102a 263.414 263.874
s0103a 343.42 343.87
s0103a 404.534 404.974
s0101a 567.575 567.915

Class 11
s0101a 57.0359 57.3926
s2603a 309.661 309.971
s2502b 282.014 282.444
s0101a 574.143 574.523

Class 12
s0103a 16.7301 17.1601
s0101a 57.1103 57.7233
s0101a 61.8031 62.2331
s3103a 56.6242 57.0442
s0103a 79.746 80.276
s2503a 126.656 126.976
s0102a 222.344 222.944
s2602b 260.12 260.72
s0102a 309.297 309.657
s0102a 369.815 370.235
s0102a 568.149 568.569

Class 13
s0101a 57.4593 57.7693
s2603a 420.164 420.474

Class 14
s0101a 60.3131 61.3831
s0102a 565.839 566.579

Class 15
s0102b 56.2664 56.8964
s0101a 60.7831 61.3631

Class 16
s0101a 60.9931 61.3831
s2503a 280.169 280.499

Class 17
s0101a 61.7931 62.2131
s0103a 177.945 178.524
s0102a 307.13 307.56

Class 18
s0101a 63.1039 63.4439
s0102b 212.547 212.957

Class 19
s0101a 64.0461 64.4061
s0102b 306.573 307.103

Class 20
s0101a 66.5006 66.9048
s3102b 103.952 104.302
s3103a 172.91 173.23
s0102a 259.372 259.732
s3101a 253.864 254.234
s3101a 270.899 271.309
s0102a 422.748 423.408
s3101b 450.467 450.877

Class 21
s0101a 66.7172 67.4339
s0103a 296.245 296.985
s0102a 325.372 326.012
s0101a 413.332 413.851

Class 22
s3102b 7.14938 7.45937
s0101a 67.0624 67.4568
s0102b 165.692 166.012
s2503a 104.492 104.802
s2602b 148.57 149
s0102a 141.722 142.112
s3101a 141.542 141.882
s2602b 193.05 193.46
s2501a 180.209 180.609
s2501b 242.64 242.95
s2503b 243.02 243.36
s0103a 339.008 339.518
s2601b 346.349 346.819
s2502a 374.497 374.967
s2601b 320.679 321.069
s2501b 360.486 360.866
s0101a 301.742 302.292
s2502a 404.463 404.923
s2501b 375.746 376.646
s2502a 415.432 415.872
s2503b 381.675 382.315
s2501a 429.693 430.003
s2503a 365.026 365.616
s2502a 526.325 526.665
s2503b 444.499 444.819
s0101a 574.223 574.533
s2501a 554.588 555.158

Class 23
s0101a 70.6006 71.0406
s2501b 274.886 275.216
s0102a 368.533 369.273
s0102a 494.116 494.466
s2502a 569.336 569.796

Class 24
s0101a 71.1294 71.4994
s2502a 156.27 156.72

Class 25
s0101a 72.047 72.477
s0102a 370.925 371.245

Class 26
s2602b 10.4934 11.1034
s0101a 82.1383 82.5116
s2602b 150.938 151.378
s0103a 403.832 404.172

Class 27
s0101a 83.1407 83.4857
s0102a 325.762 326.232
s0102a 551.509 551.949

Class 28
s0103a 17.3201 17.7301
s0101a 95.3064 95.6264
s2503b 131.362 131.742
s2602b 534.131 534.561

Class 29
s0101a 95.9799 96.3899
s0101a 268.291 268.666
s3102a 499.513 499.883

Class 30
s0101a 99.0755 99.4855
s0101b 127.908 128.538

Class 31
s3101b 16.1699 16.6099
s0101a 103.007 103.427

Class 32
s0101a 103.605 103.93
s0102b 196.413 196.953
s0103a 222.043 222.373
s0102a 213.578 213.888
s3101b 246.082 246.542

Class 33
s0102a 58.7146 59.1746
s3101a 99.9527 100.423
s0101a 115.487 115.827
s0101a 341.999 342.434
s0101a 415.622 416.002

Class 34
s0101a 115.657 116.077
s0103a 409.634 409.943

Class 35
s2501b 31.847 32.207
s0101a 117.72 118.04

Class 36
s0103a 15.3181 15.7281
s0101a 119.155 119.495

Class 37
s0101a 141.984 142.34
s2601a 253.964 254.444
s0101b 124.66 125.37
s2602b 252.99 253.32
s0103a 343.42 343.87
s2603a 400.851 401.171
s0102b 552.344 552.654
s0102b 554.328 554.648

Class 38
s0102b 67.7062 68.2562
s0101a 144.5 144.87

Class 39
s0101a 145.42 146.41
s0103a 193.33 194.05
s0101a 229.44 230.24

Class 40
s0102b 65.6667 66.4267
s0103a 58.616 58.976
s2603b 65.8926 66.2526
s2502a 177.983 178.333
s0101a 145.981 146.435
s0102b 246.056 246.506
s0102a 189.416 189.726
s2501a 226.955 227.335
s0101a 244.104 244.714
s2502b 381.145 381.475
s0101a 301.872 302.242
s0101b 351.946 352.306
s2601a 456.467 456.827
s0102a 433.828 434.508
s0102b 534.651 535.181
s2601a 509.074 509.454
s2502b 519.141 519.481
s2502a 535.13 535.58
s0102a 551.849 552.209
s2503a 500.517 501.257

Class 41
s0103a 58.616 58.976
s2603b 65.8926 66.2526
s2502a 177.983 178.333
s0101a 145.988 146.397
s0102b 246.056 246.506
s0102a 189.416 189.726
s3102a 231.2 231.58
s2501a 226.955 227.335
s0101a 244.104 244.714
s2503a 273.815 274.335
s2502b 381.145 381.475
s0101a 301.872 302.242
s0101b 351.946 352.306
s2601a 456.467 456.827
